lat,lon
40.16688595,-86.49184561
40.16708897,-86.48422802
40.16724432,-86.47840132
40.16737956,-86.47332918
40.16752503,-86.4678727
40.16768509,-86.46186875
40.16780935,-86.45720894
40.16797522,-86.45098692
40.16814997,-86.4444313
40.16832472,-86.43787566
40.16845744,-86.43289795
40.16859016,-86.42792022
40.16871611,-86.42319685
40.16888457,-86.4168772
40.16905304,-86.41055753
40.16924431,-86.40338127
40.1693901,-86.39791311
40.16953014,-86.39266054
40.16967018,-86.38740796
40.16981458,-86.38199196
40.16993211,-86.37758415
40.17006418,-86.3726309
40.17024211,-86.36595577
40.17043105,-86.35886707
40.17061999,-86.35177836
40.17081579,-86.34443171
40.17099556,-86.3376875
40.17117532,-86.33094327
40.17137412,-86.32348393
40.17156768,-86.31622153
40.17176124,-86.30895912
40.17194487,-86.3020696
40.17211876,-86.29554597
40.17225535,-86.29042296
40.17239193,-86.28529995
40.17249239,-86.28153305
40.17263692,-86.27611167
40.17276514,-86.27130243
40.17290968,-86.2658811
40.17305421,-86.26045975
40.17320647,-86.25474803
40.17335874,-86.24903629
40.17352039,-86.24297196
40.17369394,-86.23646079
40.1738675,-86.22994961
40.17404105,-86.2234384
40.17419741,-86.21757293
40.17431654,-86.21310494
40.17443556,-86.20864096
40.17458274,-86.20312015
40.17473669,-86.19734512
40.1748961,-86.19136499
40.17506227,-86.18513105
40.17522525,-86.17901651
40.17536559,-86.17375245
40.17547947,-86.16948152
40.17557888,-86.16575342
40.17567829,-86.16202531
40.17577771,-86.1582972
40.17586745,-86.15493206
40.17597061,-86.15106331
40.17609575,-86.14636965
40.17622089,-86.14167598
40.17633963,-86.13722247
40.17645837,-86.13276895
40.17656072,-86.12893058
40.17669281,-86.12397612
40.17683575,-86.11861412
40.17694817,-86.1143979
40.17707917,-86.10948408
40.17727608,-86.10209541
40.17744873,-86.09561764
40.17769322,-86.08644078
40.17785587,-86.08033879
40.17799295,-86.07519652
40.17812585,-86.07021165
40.17817613,-86.06832636
40.1782022,-86.06734932
40.17823793,-86.06600982
40.17825773,-86.06526766
40.17827822,-86.06449936
40.1783749,-86.06087401
40.1784912,-86.05651197
40.17865055,-86.05053372
40.17879453,-86.04513243
40.17893156,-86.03999214
40.17910177,-86.0336062
40.17925243,-86.02795402
40.1794031,-86.02230184
40.17955377,-86.01664964
40.17970443,-86.01099743
40.1798551,-86.0053452
40.1800532,-85.99791129
40.18027919,-85.98942929
40.18057112,-85.97846776
40.18085878,-85.96766706
40.18112165,-85.95779855
40.18137907,-85.948135
40.18163979,-85.93834756
40.18190847,-85.92826017
40.18215827,-85.91888312
40.18243878,-85.90835108
40.18270477,-85.89836491
40.18293967,-85.88954794
40.18309694,-85.88364735
40.18326405,-85.87737728
40.18342483,-85.87134495
40.18357615,-85.86566787
40.18368566,-85.86156045
40.18378628,-85.85778653
40.18390125,-85.85347389
40.18401513,-85.84920258
40.18411714,-85.84537643
40.18423471,-85.84096641
40.18435505,-85.83645234
40.18451779,-85.83034617
40.18464541,-85.8255589
40.18478191,-85.82043837
40.18492971,-85.81489326
40.18507751,-85.80934813
40.18524635,-85.80301299
40.18542068,-85.79647135
40.1856021,-85.78966346
40.1857736,-85.78322847
40.185937,-85.77709724
40.18610041,-85.770966
40.18625004,-85.76535214
40.18644502,-85.75803477
40.18664064,-85.7506932
40.18684343,-85.74308232
40.18708828,-85.73389072
40.18729932,-85.72596965
40.18744484,-85.72051013
40.18759035,-85.71505059
40.18772623,-85.70995312
40.18791899,-85.70271885
40.18809883,-85.69597025
40.18831092,-85.68800966
40.1884776,-85.68175531
40.18862851,-85.6760933
40.18877609,-85.67055593
40.18892368,-85.66501855
40.18907127,-85.65948115
40.18920907,-85.65431114
40.18934232,-85.6493121
40.18950757,-85.64311132
40.18967282,-85.63691053
40.18985377,-85.63011977
40.19007516,-85.62180956
40.19029655,-85.61349932
40.19051582,-85.60526858
40.19068594,-85.59888493
40.19085605,-85.59250126
40.19103899,-85.58563588
40.19123267,-85.57836692
40.19138663,-85.57258991
40.19154059,-85.56681288
40.1917769,-85.55794165
40.19202195,-85.54874164
40.19225463,-85.54000656
40.19256445,-85.5283704
40.19291427,-85.51522848
40.19330655,-85.50048762
40.1937017,-85.48563812
40.1940569,-85.4722934
40.19433732,-85.46176295
40.19461774,-85.45123246
40.19491162,-85.44019547
40.1952055,-85.42915844
40.19549938,-85.41812136
40.19579326,-85.40708422
40.19609153,-85.39588191
40.19640434,-85.38413241
40.19671569,-85.37243772
40.19701069,-85.36135844
40.19729941,-85.35051495
40.19762028,-85.33846192
40.19794287,-85.32634413
40.19826752,-85.31414866
40.19860402,-85.30150698
40.19895684,-85.28825099
40.19931927,-85.2746332
40.19972066,-85.25954737
40.20010065,-85.24526812
40.20047629,-85.23115219
40.200902,-85.21515004
40.20125044,-85.20205852
40.20161242,-85.18845673
40.20197441,-85.17485487
40.20238473,-85.15943233
40.20279505,-85.1440097
40.20323514,-85.12746476
40.20364967,-85.11188323
40.20407781,-85.09578877
40.20456186,-85.07758606
40.20504817,-85.05929776
40.20557071,-85.03964295
40.20603495,-85.02218702
40.20652542,-85.00374161
40.20701589,-84.98529607
40.20753234,-84.9658702
40.20804158,-84.94671618
40.20854726,-84.92769649
40.20904944,-84.90880863
40.20957299,-84.88911468
40.21009464,-84.86949194
40.21063609,-84.84912173
40.21119363,-84.82814387
40.21175117,-84.80716584
40.21232471,-84.78558364
40.21291811,-84.76325104
40.21347064,-84.74246207
40.21402316,-84.72167292
40.21456846,-84.70115608
40.21511376,-84.68063907
40.21565999,-84.66008703
40.21620455,-84.63959793
40.2167491,-84.61910867
40.21729366,-84.59861924
40.21779425,-84.57978895
40.21834831,-84.55894025
40.21890237,-84.53809137
40.2194261,-84.51838741
40.21994983,-84.49868329
40.22052113,-84.47718303
40.22109243,-84.45568259
40.22166373,-84.43418196
40.2222513,-84.41206684
40.22286349,-84.389021
40.22348789,-84.36551363
40.22411229,-84.34200604
40.22472359,-84.31899348
40.22540088,-84.29348595
40.22602365,-84.27003928
40.22664643,-84.24659239
40.22722723,-84.22473098
40.22780104,-84.2031336
40.2283069,-84.18410153
40.22881732,-84.16489702
40.22938807,-84.14341496
40.22991824,-84.1234648
40.2304452,-84.1036357
40.23098881,-84.08317746
40.23153243,-84.06271905
40.23211059,-84.04095593
40.23268875,-84.01919263
